condition,kind,exposure_arm,mechanism,role,replicate,plate,row,column,well,animal_id,litter_id,bone_id,bone_position,is_edge_well
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,B,1,B01,,,,,True
ambroxol,compound,continuous,ion channel,discovery compound,3,8,B,2,B02,L6A1,L6,L6A1-MT3-R,MT3-R,False
pevonedistat,compound,continuous,ubiquitin system,discovery compound,2,8,B,3,B03,L3A8,L3,L3A8-MT2-R,MT2-R,False
lorlatinib,compound,continuous,kinase,discovery compound,5,8,B,4,B04,L1A1,L1,L1A1-MT2-L,MT2-L,False
butylphthalide,compound,continuous,ion channel,discovery compound,2,8,B,5,B05,L2A3,L2,L2A3-MT4-L,MT4-L,False
benzethonium,compound,continuous,ion channel,discovery compound,1,8,B,6,B06,L4A4,L4,L4A4-MT2-L,MT2-L,False
glasdegib,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,1,8,B,7,B07,L14A8,L14,L14A8-MT2-L,MT2-L,False
cyclovalone,compound,continuous,transporter,discovery compound,5,8,B,8,B08,L9A7,L9,L9A7-MT2-R,MT2-R,False
ketoconazole,compound,continuous,epigenetic (selective probe),discovery compound,1,8,B,9,B09,L3A1,L3,L3A1-MT4-L,MT4-L,False
retinol,compound,continuous,mechanotransduction,discovery compound,3,8,B,10,B10,L7A8,L7,L7A8-MT3-L,MT3-L,False
pevonedistat,compound,continuous,ubiquitin system,discovery compound,6,8,B,11,B11,L3A7,L3,L3A7-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,C,1,C01,,,,,True
cilengitide,compound,continuous,mechanotransduction,discovery compound,2,8,C,2,C02,L6A4,L6,L6A4-MT4-L,MT4-L,False
trofinetide,compound,continuous,growth factor / cytokine,discovery compound,4,8,C,3,C03,L9A4,L9,L9A4-MT4-L,MT4-L,False
BMS-587101,compound,continuous,mechanotransduction,discovery compound,6,8,C,4,C04,L10A4,L10,L10A4-MT4-L,MT4-L,False
bempedoic-acid,compound,continuous,metabolic,discovery compound,6,8,C,5,C05,L13A8,L13,L13A8-MT4-R,MT4-R,False
abametapir,compound,continuous,protease,discovery compound,4,8,C,6,C06,L12A5,L12,L12A5-MT4-L,MT4-L,False
efinaconazole,compound,continuous,epigenetic (selective probe),discovery compound,6,8,C,7,C07,L1A3,L1,L1A3-MT3-L,MT3-L,False
fumagillin,compound,continuous,protease,discovery compound,1,8,C,8,C08,L12A1,L12,L12A1-MT2-L,MT2-L,False
entacapone,compound,continuous,epigenetic (selective probe),discovery compound,2,8,C,9,C09,L6A4,L6,L6A4-MT3-L,MT3-L,False
pevonedistat,compound,continuous,ubiquitin system,discovery compound,1,8,C,10,C10,L12A5,L12,L12A5-MT4-R,MT4-R,False
cinacalcet,compound,continuous,ion channel,discovery compound,2,8,C,11,C11,L9A4,L9,L9A4-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,D,1,D01,,,,,True
ertugliflozin,compound,continuous,transporter,discovery compound,3,8,D,2,D02,L1A3,L1,L1A3-MT2-R,MT2-R,False
washout-only,WASHOUT CONTROL,washout + recovery,control,WASHOUT CONTROL,5,8,D,3,D03,L5A6,L5,L5A6-MT3-R,MT3-R,False
acefylline,compound,continuous,GPCR,discovery compound,5,8,D,4,D04,L6A2,L6,L6A2-MT2-L,MT2-L,False
ketoconazole,compound,continuous,epigenetic (selective probe),discovery compound,4,8,D,5,D05,L12A6,L12,L12A6-MT2-R,MT2-R,False
acefylline,compound,continuous,GPCR,discovery compound,1,8,D,6,D06,L7A3,L7,L7A3-MT2-R,MT2-R,False
phenylbutyrate,compound,continuous,epigenetic (selective probe),discovery compound,5,8,D,7,D07,L10A2,L10,L10A2-MT4-R,MT4-R,False
diacerein,compound,continuous,growth factor / cytokine,discovery compound,2,8,D,8,D08,L9A4,L9,L9A4-MT3-L,MT3-L,False
STA-5326,compound,continuous,growth factor / cytokine,discovery compound,2,8,D,9,D09,L8A4,L8,L8A4-MT3-R,MT3-R,False
menadione,compound,continuous,phosphatase,discovery compound,3,8,D,10,D10,L7A6,L7,L7A6-MT4-L,MT4-L,False
T-0901317,compound,continuous,nuclear receptor,discovery compound,6,8,D,11,D11,L10A5,L10,L10A5-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,E,1,E01,,,,,True
doxycycline,compound,continuous,protease,discovery compound,5,8,E,2,E02,L10A1,L10,L10A1-MT4-L,MT4-L,False
cerulenin,compound,continuous,metabolic,discovery compound,6,8,E,3,E03,L11A5,L11,L11A5-MT4-R,MT4-R,False
azelnidipine,compound,continuous,ion channel,discovery compound,4,8,E,4,E04,L8A2,L8,L8A2-MT2-R,MT2-R,False
chlorogenic-acid,compound,continuous,transporter,discovery compound,4,8,E,5,E05,L8A5,L8,L8A5-MT4-L,MT4-L,False
allopurinol,compound,continuous,metabolic,discovery compound,1,8,E,6,E06,L5A6,L5,L5A6-MT2-R,MT2-R,False
cilnidipine,compound,continuous,ion channel,discovery compound,4,8,E,7,E07,L12A4,L12,L12A4-MT2-R,MT2-R,False
NAB-2,compound,continuous,ubiquitin system,discovery compound,3,8,E,8,E08,L2A1,L2,L2A1-MT3-R,MT3-R,False
EW-7197,compound,continuous,growth factor / cytokine,discovery compound,6,8,E,9,E09,L10A7,L10,L10A7-MT3-R,MT3-R,False
acipimox,compound,continuous,metabolic,discovery compound,1,8,E,10,E10,L2A1,L2,L2A1-MT4-R,MT4-R,False
bempedoic-acid,compound,continuous,metabolic,discovery compound,5,8,E,11,E11,L6A1,L6,L6A1-MT2-R,MT2-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,F,1,F01,,,,,True
retinol,compound,continuous,mechanotransduction,discovery compound,6,8,F,2,F02,L4A6,L4,L4A6-MT3-R,MT3-R,False
AS-1949490,compound,continuous,phosphatase,discovery compound,4,8,F,3,F03,L4A5,L4,L4A5-MT2-R,MT2-R,False
spautin-1,compound,continuous,ubiquitin system,discovery compound,4,8,F,4,F04,L14A7,L14,L14A7-MT3-L,MT3-L,False
chlorogenic-acid,compound,continuous,transporter,discovery compound,5,8,F,5,F05,L10A4,L10,L10A4-MT2-L,MT2-L,False
acalabrutinib,compound,continuous,kinase,discovery compound,6,8,F,6,F06,L10A3,L10,L10A3-MT4-L,MT4-L,False
omecamtiv-mecarbil,compound,continuous,mechanotransduction,discovery compound,1,8,F,7,F07,L6A7,L6,L6A7-MT2-L,MT2-L,False
IU1,compound,continuous,ubiquitin system,discovery compound,5,8,F,8,F08,L13A7,L13,L13A7-MT2-R,MT2-R,False
hypoestoxide,compound,continuous,growth factor / cytokine,discovery compound,5,8,F,9,F09,L3A5,L3,L3A5-MT3-R,MT3-R,False
firategrast,compound,continuous,mechanotransduction,discovery compound,5,8,F,10,F10,L12A6,L12,L12A6-MT2-L,MT2-L,False
washout-only,WASHOUT CONTROL,washout + recovery,control,WASHOUT CONTROL,1,8,F,11,F11,L8A2,L8,L8A2-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,G,1,G01,,,,,True
bepridil,compound,continuous,ion channel,discovery compound,5,8,G,2,G02,L10A5,L10,L10A5-MT4-L,MT4-L,False
chlorproguanil,compound,continuous,metabolic,discovery compound,5,8,G,3,G03,L1A2,L1,L1A2-MT3-L,MT3-L,False
itacitinib,compound,continuous,kinase,discovery compound,5,8,G,4,G04,L9A8,L9,L9A8-MT2-R,MT2-R,False
acetyl-farnesyl-cysteine,compound,continuous,epigenetic (selective probe),discovery compound,2,8,G,5,G05,L2A6,L2,L2A6-MT2-R,MT2-R,False
SMER-28,compound,continuous,lysosomal / autophagy,discovery compound,5,8,G,6,G06,L4A2,L4,L4A2-MT4-R,MT4-R,False
trofinetide,compound,continuous,growth factor / cytokine,discovery compound,3,8,G,7,G07,L10A4,L10,L10A4-MT2-R,MT2-R,False
bis(maltolato)oxovanadium(IV),compound,continuous,phosphatase,discovery compound,5,8,G,8,G08,L11A6,L11,L11A6-MT4-R,MT4-R,False
lorlatinib,compound,continuous,kinase,discovery compound,2,8,G,9,G09,L14A4,L14,L14A4-MT3-R,MT3-R,False
futibatinib,compound,continuous,growth factor / cytokine,ASSAY CONTROL ONLY - canonical pathway,5,8,G,10,G10,L4A2,L4,L4A2-MT3-R,MT3-R,False
benzethonium,compound,continuous,ion channel,discovery compound,4,8,G,11,G11,L4A8,L4,L4A8-MT4-R,MT4-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,8,H,12,H12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,B,1,B01,,,,,True
cerulenin,compound,continuous,metabolic,discovery compound,3,9,B,2,B02,L9A6,L9,L9A6-MT2-L,MT2-L,False
firategrast,compound,continuous,mechanotransduction,discovery compound,2,9,B,3,B03,L9A8,L9,L9A8-MT3-R,MT3-R,False
pralmorelin,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,4,9,B,4,B04,L8A2,L8,L8A2-MT2-L,MT2-L,False
beta-hydroxy-beta-methylbutyrate,compound,continuous,kinase,discovery compound,5,9,B,5,B05,L14A7,L14,L14A7-MT3-R,MT3-R,False
acrivastine,compound,continuous,GPCR,discovery compound,2,9,B,6,B06,L6A4,L6,L6A4-MT2-R,MT2-R,False
albuterol,compound,continuous,GPCR,discovery compound,3,9,B,7,B07,L14A1,L14,L14A1-MT2-R,MT2-R,False
doxycycline,compound,continuous,protease,discovery compound,3,9,B,8,B08,L3A3,L3,L3A3-MT2-L,MT2-L,False
bepridil,compound,continuous,ion channel,discovery compound,1,9,B,9,B09,L2A4,L2,L2A4-MT4-L,MT4-L,False
pralmorelin,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,1,9,B,10,B10,L9A3,L9,L9A3-MT4-R,MT4-R,False
halofuginone,compound,continuous,matrix remodeling,discovery compound,2,9,B,11,B11,L11A1,L11,L11A1-MT2-L,MT2-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,C,1,C01,,,,,True
phenylbutyrate,compound,continuous,epigenetic (selective probe),discovery compound,6,9,C,2,C02,L2A8,L2,L2A8-MT3-R,MT3-R,False
GW-3965,compound,continuous,nuclear receptor,discovery compound,1,9,C,3,C03,L7A6,L7,L7A6-MT2-L,MT2-L,False
butenafine,compound,continuous,metabolic,discovery compound,5,9,C,4,C04,L1A5,L1,L1A5-MT3-R,MT3-R,False
bis(maltolato)oxovanadium(IV),compound,continuous,phosphatase,discovery compound,3,9,C,5,C05,L7A4,L7,L7A4-MT3-R,MT3-R,False
chlorproguanil,compound,continuous,metabolic,discovery compound,2,9,C,6,C06,L6A6,L6,L6A6-MT2-R,MT2-R,False
lenalidomide,compound,continuous,growth factor / cytokine,discovery compound,6,9,C,7,C07,L2A3,L2,L2A3-MT2-R,MT2-R,False
acalabrutinib,compound,continuous,kinase,discovery compound,3,9,C,8,C08,L8A7,L8,L8A7-MT3-R,MT3-R,False
STA-5326,compound,continuous,growth factor / cytokine,discovery compound,1,9,C,9,C09,L9A3,L9,L9A3-MT4-L,MT4-L,False
T-0901317,compound,continuous,nuclear receptor,discovery compound,1,9,C,10,C10,L5A4,L5,L5A4-MT2-L,MT2-L,False
pralmorelin,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,2,9,C,11,C11,L8A4,L8,L8A4-MT4-R,MT4-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,D,1,D01,,,,,True
bempedoic-acid,compound,continuous,metabolic,discovery compound,4,9,D,2,D02,L1A2,L1,L1A2-MT4-R,MT4-R,False
ambroxol,compound,continuous,ion channel,discovery compound,5,9,D,3,D03,L12A8,L12,L12A8-MT3-R,MT3-R,False
menadione,compound,continuous,phosphatase,discovery compound,2,9,D,4,D04,L14A3,L14,L14A3-MT2-R,MT2-R,False
diacerein,compound,continuous,growth factor / cytokine,discovery compound,6,9,D,5,D05,L11A4,L11,L11A4-MT2-R,MT2-R,False
benserazide,compound,continuous,metabolic,discovery compound,6,9,D,6,D06,L3A2,L3,L3A2-MT3-R,MT3-R,False
beta-hydroxy-beta-methylbutyrate,compound,continuous,kinase,discovery compound,3,9,D,7,D07,L5A2,L5,L5A2-MT2-R,MT2-R,False
latrunculin-B,compound,continuous,mechanotransduction,discovery compound,3,9,D,8,D08,L6A5,L6,L6A5-MT3-R,MT3-R,False
aminopentamide,compound,continuous,GPCR,discovery compound,2,9,D,9,D09,L5A5,L5,L5A5-MT4-L,MT4-L,False
aloxistatin,compound,continuous,protease,discovery compound,2,9,D,10,D10,L12A1,L12,L12A1-MT4-L,MT4-L,False
lorlatinib,compound,continuous,kinase,discovery compound,1,9,D,11,D11,L7A5,L7,L7A5-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,E,1,E01,,,,,True
FK-409,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,3,9,E,2,E02,L6A1,L6,L6A1-MT2-L,MT2-L,False
trapidil,compound,continuous,kinase,discovery compound,2,9,E,3,E03,L2A6,L2,L2A6-MT4-L,MT4-L,False
SP-141,compound,continuous,ubiquitin system,discovery compound,6,9,E,4,E04,L9A7,L9,L9A7-MT2-L,MT2-L,False
butylphthalide,compound,continuous,ion channel,discovery compound,4,9,E,5,E05,L10A7,L10,L10A7-MT4-L,MT4-L,False
butylphthalide,compound,continuous,ion channel,discovery compound,1,9,E,6,E06,L7A4,L7,L7A4-MT2-R,MT2-R,False
fostamatinib,compound,continuous,kinase,discovery compound,4,9,E,7,E07,L13A2,L13,L13A2-MT2-R,MT2-R,False
isoconazole,compound,continuous,epigenetic (selective probe),discovery compound,5,9,E,8,E08,L4A2,L4,L4A2-MT4-L,MT4-L,False
diacerein,compound,continuous,growth factor / cytokine,discovery compound,4,9,E,9,E09,L10A8,L10,L10A8-MT4-L,MT4-L,False
IGF1,PRODUCTIVE BENCHMARK,continuous,control,PRODUCTIVE BENCHMARK,4,9,E,10,E10,L1A6,L1,L1A6-MT2-R,MT2-R,False
VLX600,compound,continuous,ubiquitin system,discovery compound,2,9,E,11,E11,L5A7,L5,L5A7-MT4-L,MT4-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,F,1,F01,,,,,True
SP-141,compound,continuous,ubiquitin system,discovery compound,4,9,F,2,F02,L10A6,L10,L10A6-MT3-L,MT3-L,False
acalabrutinib,compound,continuous,kinase,discovery compound,5,9,F,3,F03,L1A6,L1,L1A6-MT3-L,MT3-L,False
cobimetinib,compound,continuous,kinase,discovery compound,6,9,F,4,F04,L14A2,L14,L14A2-MT2-L,MT2-L,False
entacapone,compound,continuous,epigenetic (selective probe),discovery compound,4,9,F,5,F05,L9A7,L9,L9A7-MT3-L,MT3-L,False
IU1,compound,continuous,ubiquitin system,discovery compound,1,9,F,6,F06,L14A5,L14,L14A5-MT4-L,MT4-L,False
allopurinol,compound,continuous,metabolic,discovery compound,3,9,F,7,F07,L13A1,L13,L13A1-MT3-L,MT3-L,False
AS-1949490,compound,continuous,phosphatase,discovery compound,5,9,F,8,F08,L7A3,L7,L7A3-MT3-R,MT3-R,False
firategrast,compound,continuous,mechanotransduction,discovery compound,1,9,F,9,F09,L8A2,L8,L8A2-MT3-L,MT3-L,False
tacrolimus,compound,continuous,phosphatase,discovery compound,4,9,F,10,F10,L6A6,L6,L6A6-MT3-R,MT3-R,False
F351,compound,continuous,growth factor / cytokine,discovery compound,2,9,F,11,F11,L13A8,L13,L13A8-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,G,1,G01,,,,,True
firategrast,compound,continuous,mechanotransduction,discovery compound,3,9,G,2,G02,L10A1,L10,L10A1-MT2-R,MT2-R,False
acipimox,compound,continuous,metabolic,discovery compound,4,9,G,3,G03,L2A7,L2,L2A7-MT2-L,MT2-L,False
glasdegib,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,6,9,G,4,G04,L11A2,L11,L11A2-MT3-R,MT3-R,False
cerulenin,compound,continuous,metabolic,discovery compound,1,9,G,5,G05,L7A2,L7,L7A2-MT3-L,MT3-L,False
cilastatin,compound,continuous,protease,discovery compound,2,9,G,6,G06,L6A4,L6,L6A4-MT2-L,MT2-L,False
fostamatinib,compound,continuous,kinase,discovery compound,6,9,G,7,G07,L7A4,L7,L7A4-MT4-R,MT4-R,False
cilastatin,compound,continuous,protease,discovery compound,4,9,G,8,G08,L7A5,L7,L7A5-MT4-L,MT4-L,False
escitalopram,compound,continuous,transporter,discovery compound,5,9,G,9,G09,L13A8,L13,L13A8-MT4-L,MT4-L,False
glasdegib,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,5,9,G,10,G10,L6A2,L6,L6A2-MT2-R,MT2-R,False
sodium-stibogluconate,compound,continuous,phosphatase,discovery compound,5,9,G,11,G11,L2A7,L2,L2A7-MT4-R,MT4-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,9,H,12,H12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,B,1,B01,,,,,True
carglumic-acid,compound,continuous,metabolic,discovery compound,2,10,B,2,B02,L14A5,L14,L14A5-MT4-R,MT4-R,False
fostamatinib,compound,continuous,kinase,discovery compound,2,10,B,3,B03,L8A5,L8,L8A5-MT2-R,MT2-R,False
metolazone,compound,continuous,transporter,discovery compound,1,10,B,4,B04,L10A3,L10,L10A3-MT4-R,MT4-R,False
doxycycline,compound,continuous,protease,discovery compound,2,10,B,5,B05,L12A2,L12,L12A2-MT3-R,MT3-R,False
bis(maltolato)oxovanadium(IV),compound,continuous,phosphatase,discovery compound,6,10,B,6,B06,L10A5,L10,L10A5-MT3-L,MT3-L,False
albuterol,compound,continuous,GPCR,discovery compound,4,10,B,7,B07,L12A3,L12,L12A3-MT3-R,MT3-R,False
cerulenin,compound,continuous,metabolic,discovery compound,5,10,B,8,B08,L1A3,L1,L1A3-MT2-L,MT2-L,False
tazemetostat,compound,continuous,epigenetic (selective probe),discovery compound,5,10,B,9,B09,L14A4,L14,L14A4-MT3-L,MT3-L,False
STA-5326,compound,continuous,growth factor / cytokine,discovery compound,4,10,B,10,B10,L5A8,L5,L5A8-MT2-R,MT2-R,False
acetyl-farnesyl-cysteine,compound,continuous,epigenetic (selective probe),discovery compound,4,10,B,11,B11,L5A8,L5,L5A8-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,10,C,1,C01,,,,,True
menadione,compound,continuous,phosphatase,discovery compound,6,10,C,2,C02,L2A1,L2,L2A1-MT2-L,MT2-L,False
antiproliferative control,CYTOTOXIC CONTROL,continuous,control,CYTOTOXIC CONTROL,3,10,C,3,C03,L9A7,L9,L9A7-MT4-R,MT4-R,False
halofuginone,compound,continuous,matrix remodeling,discovery compound,1,10,C,4,C04,L11A2,L11,L11A2-MT3-L,MT3-L,False
bis(maltolato)oxovanadium(IV),compound,continuous,phosphatase,discovery compound,1,10,C,5,C05,L10A5,L10,L10A5-MT2-R,MT2-R,False
trapidil,compound,continuous,kinase,discovery compound,5,10,C,6,C06,L7A5,L7,L7A5-MT3-R,MT3-R,False
CPI-0610,compound,continuous,epigenetic (selective probe),discovery compound,2,10,C,7,C07,L6A2,L6,L6A2-MT3-R,MT3-R,False
lesinurad,compound,continuous,transporter,discovery compound,3,10,C,8,C08,L8A8,L8,L8A8-MT2-L,MT2-L,False
adiphenine,compound,continuous,GPCR,discovery compound,3,10,C,9,C09,L4A8,L4,L4A8-MT3-R,MT3-R,False
