compound,chembl_id,compound_family,primary_target_queried,classification_basis,broad_poison_class
CHEMBL4786768,CHEMBL4786768,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4761772,CHEMBL4761772,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4871326,CHEMBL4871326,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL332150,CHEMBL332150,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL550928,CHEMBL550928,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4527625,CHEMBL4527625,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4578712,CHEMBL4578712,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4436417,CHEMBL4436417,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4566371,CHEMBL4566371,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4578385,CHEMBL4578385,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4573492,CHEMBL4573492,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4522912,CHEMBL4522912,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4446213,CHEMBL4446213,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4540244,CHEMBL4540244,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL493937,CHEMBL493937,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL471697,CHEMBL471697,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3604613,CHEMBL3604613,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL208169,CHEMBL208169,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL563781,CHEMBL563781,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL562650,CHEMBL562650,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL561872,CHEMBL561872,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL557809,CHEMBL557809,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2152377,CHEMBL2152377,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3604618,CHEMBL3604618,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3604614,CHEMBL3604614,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL517827,CHEMBL517827,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL426673,CHEMBL426673,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330750,CHEMBL3330750,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207246,CHEMBL207246,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207674,CHEMBL207674,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL206783,CHEMBL206783,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3942680,CHEMBL3942680,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5183237,CHEMBL5183237,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330745,CHEMBL3330745,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330746,CHEMBL3330746,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330747,CHEMBL3330747,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330748,CHEMBL3330748,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330749,CHEMBL3330749,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207037,CHEMBL207037,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330752,CHEMBL3330752,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3889997,CHEMBL3889997,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2069534,CHEMBL2069534,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330738,CHEMBL3330738,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330739,CHEMBL3330739,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330740,CHEMBL3330740,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330741,CHEMBL3330741,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330742,CHEMBL3330742,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330743,CHEMBL3330743,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330744,CHEMBL3330744,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL594749,CHEMBL594749,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL596379,CHEMBL596379,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL604684,CHEMBL604684,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL595684,CHEMBL595684,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL213423,CHEMBL213423,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL213451,CHEMBL213451,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL212382,CHEMBL212382,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL212968,CHEMBL212968,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL214198,CHEMBL214198,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL379929,CHEMBL379929,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL382822,CHEMBL382822,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL383760,CHEMBL383760,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207235,CHEMBL207235,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL208292,CHEMBL208292,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207584,CHEMBL207584,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL382638,CHEMBL382638,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL206955,CHEMBL206955,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL215652,CHEMBL215652,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL380386,CHEMBL380386,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3121751,CHEMBL3121751,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1765172,CHEMBL1765172,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3361051,CHEMBL3361051,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3361058,CHEMBL3361058,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3317833,CHEMBL3317833,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3317836,CHEMBL3317836,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3317840,CHEMBL3317840,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3317843,CHEMBL3317843,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL74667,CHEMBL74667,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
VORINOSTAT,CHEMBL98,RORalpha / lipid pathway,HMGCR,no geometry evidence and no measured mechanistic advantage,
CHEMBL127836,CHEMBL127836,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3263716,CHEMBL3263716,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL42634,CHEMBL42634,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL446610,CHEMBL446610,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL441970,CHEMBL441970,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL43805,CHEMBL43805,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL295584,CHEMBL295584,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL282247,CHEMBL282247,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL178591,CHEMBL178591,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL369660,CHEMBL369660,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL514043,CHEMBL514043,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL478014,CHEMBL478014,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4290041,CHEMBL4290041,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL397114,CHEMBL397114,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL395942,CHEMBL395942,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3912204,CHEMBL3912204,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3931161,CHEMBL3931161,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4175305,CHEMBL4175305,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4226803,CHEMBL4226803,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4226421,CHEMBL4226421,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4289622,CHEMBL4289622,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL563007,CHEMBL563007,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4287674,CHEMBL4287674,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3598054,CHEMBL3598054,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3598141,CHEMBL3598141,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3598148,CHEMBL3598148,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3598149,CHEMBL3598149,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3596270,CHEMBL3596270,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3596276,CHEMBL3596276,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3596279,CHEMBL3596279,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3814206,CHEMBL3814206,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL319556,CHEMBL319556,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL96633,CHEMBL96633,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL599224,CHEMBL599224,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL599428,CHEMBL599428,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL597754,CHEMBL597754,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL330657,CHEMBL330657,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL93262,CHEMBL93262,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL94846,CHEMBL94846,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL329244,CHEMBL329244,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2037220,CHEMBL2037220,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL381282,CHEMBL381282,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207736,CHEMBL207736,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207904,CHEMBL207904,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL379748,CHEMBL379748,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
NILOTINIB,CHEMBL255863,polarity / cilia,PRKCI,no geometry evidence and no measured mechanistic advantage,
CHEMBL3216441,CHEMBL3216441,Rho/Rac/Cdc42 modulator,RAC1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL379269,CHEMBL379269,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL379071,CHEMBL379071,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL209189,CHEMBL209189,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL383460,CHEMBL383460,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL205642,CHEMBL205642,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL381998,CHEMBL381998,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL204982,CHEMBL204982,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL204613,CHEMBL204613,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL208392,CHEMBL208392,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL206417,CHEMBL206417,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL378451,CHEMBL378451,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2398674,CHEMBL2398674,Rho/Rac/Cdc42 modulator,RHOA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2398673,CHEMBL2398673,Rho/Rac/Cdc42 modulator,RHOA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1270230,CHEMBL1270230,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
ONVANSERTIB,CHEMBL1738758,FAK / adhesion turnover,PTK2,no geometry evidence and no measured mechanistic advantage,
CHEMBL2205766,CHEMBL2205766,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL206504,CHEMBL206504,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL205943,CHEMBL205943,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL205034,CHEMBL205034,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL203675,CHEMBL203675,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL208054,CHEMBL208054,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207312,CHEMBL207312,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL438623,CHEMBL438623,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL380116,CHEMBL380116,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL206506,CHEMBL206506,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL205368,CHEMBL205368,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL206796,CHEMBL206796,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207032,CHEMBL207032,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL205587,CHEMBL205587,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL205911,CHEMBL205911,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207551,CHEMBL207551,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL262122,CHEMBL262122,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL206363,CHEMBL206363,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3613619,CHEMBL3613619,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1995448,CHEMBL1995448,LIMK inhibitor,LIMK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1974457,CHEMBL1974457,LIMK inhibitor,LIMK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2006581,CHEMBL2006581,LIMK inhibitor,LIMK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3613617,CHEMBL3613617,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3613615,CHEMBL3613615,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1344542,CHEMBL1344542,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2335536,CHEMBL2335536,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3663942,CHEMBL3663942,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL96096,CHEMBL96096,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1329801,CHEMBL1329801,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1093016,CHEMBL1093016,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1824663,CHEMBL1824663,RORalpha / lipid pathway,SREBF2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1345945,CHEMBL1345945,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL6177145,CHEMBL6177145,ion / volume regulation,KCNK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL597126,CHEMBL597126,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1090463,CHEMBL1090463,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3259997,CHEMBL3259997,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL22153,CHEMBL22153,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2335561,CHEMBL2335561,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2047096,CHEMBL2047096,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL512649,CHEMBL512649,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL101600,CHEMBL101600,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL92395,CHEMBL92395,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL295251,CHEMBL295251,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL89363,CHEMBL89363,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3199005,CHEMBL3199005,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1622565,CHEMBL1622565,RORalpha / lipid pathway,SREBF2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4449467,CHEMBL4449467,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3259996,CHEMBL3259996,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2047082,CHEMBL2047082,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL2385723,CHEMBL2385723,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
KURARINONE,CHEMBL243796,RORalpha / lipid pathway,SOAT1,"weakest-usable-potency ceiling: primary-target potency 10,900 nM is above 10,000 nM, so no selective concentration exists",
CHEMBL3663941,CHEMBL3663941,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
