pert_iname,clinical_phase,moa,target,mechanism_family,exclusion_reason,exclusion_match,excluded_because
RG1530,Phase 1,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FGFR1|FGFR2,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
rhein,Phase 1,,HSP90AA1,other / unclassified,,,no annotated mechanism of action
rhodamine-123,Phase 1,,,other / unclassified,,,no annotated mechanism of action
RI-1,Preclinical,,RAD51,other / unclassified,,,no annotated mechanism of action
ribitol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
riboflavin-5-phosphate-sodium,Launched,,BLVRB|DHODH|DPYD|HAO1|HAO2|MT-ND1|NOS1|PNPO|POR|PPCDC|RFK|RPS6KA4|SGK1,other / unclassified,,,no annotated mechanism of action
rifabutin,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
rifampin,Launched,RNA polymerase inhibitor,NR1I2|SLCO1A2|SLCO1B1|SLCO1B3,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
rifamycin,Launched,DNA directed RNA polymerase inhibitor,SLCO1A2|SLCO1B1|SLCO1B3|SLCO2B1,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
rifapentine,Launched,RNA polymerase inhibitor,CYP2C8|CYP2C9|CYP3A4,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
rigosertib,Phase 3,cell cycle inhibitor|PLK inhibitor,PLK1,other / unclassified,PLK inhibitor,PLK,hard exclusion: PLK inhibitor
rimexolone,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
riodoxol,Launched,other antibiotic,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
risedronate,Launched,osteoclast inhibitor,FDPS,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
RLX,Preclinical,,,other / unclassified,,,no annotated mechanism of action
Ro-3306,Preclinical,CDK inhibitor,CDK1,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
roluperidone,Phase 2,,,other / unclassified,,,no annotated mechanism of action
rolziracetam,Phase 2,,,other / unclassified,,,no annotated mechanism of action
roquinimex,Phase 3,angiogenesis inhibitor|tumor necrosis factor production inhibitor,,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
rosamicin,Phase 2,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
rosoxacin,Launched,topoisomerase inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
rostafuroxine,Phase 2,ATPase inhibitor,ATP1A1,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
RP67580,Preclinical,,,other / unclassified,,,no annotated mechanism of action
RU-58841,Phase 2,androgen receptor antagonist,AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
rubitecan,Phase 3,topoisomerase inhibitor,TOP1,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
RX-3117,Phase 1/Phase 2,CDK inhibitor|DNA synthesis inhibitor,CDK2|DNMT1,kinase,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
R547,Phase 1,CDK inhibitor,CDK1|CDK2|CDK4|CDK7,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
S-methylcysteine,Phase 1,,CTSD|MGMT,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
salazodine,Phase 2,,,other / unclassified,,,no annotated mechanism of action
salicyl-alcohol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
salinomycin,Launched,,,other / unclassified,,,no annotated mechanism of action
salsolinol-1-carboxylic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
sanazole,Phase 1,,,other / unclassified,,,no annotated mechanism of action
sapacitabine,Phase 3,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
sari-59-801,Phase 1,,,other / unclassified,,,no annotated mechanism of action
SAR131675,Preclinical,VEGFR inhibitor,FLT4,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
satraplatin,Phase 3,DNA alkylating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
SB-202190,Preclinical,p38 MAPK inhibitor,AKT1|ALOX5|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SGK1,other / unclassified,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
SB-203580,Preclinical,p38 MAPK inhibitor,AKT1|ALOX5|CHEK1|CYP2D6|CYP3A4|GAK|GSK3B|LCK|MAPK1|MAPK10|MAPK11|MAPK12|MAPK14|MAPK8|MAPK9|PRKCA|RAF1|RIPK2|ROCK1|RPS6KB1|SGK1|SRC|TNF,growth factor / cytokine,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
SB-216763,Preclinical,glycogen synthase kinase inhibitor,CCNA2|CDK2|GSK3A|GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
SB-415286,Preclinical,glycogen synthase kinase inhibitor,GSK3A|GSK3B|RPS6KB1,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
SBE-13,Preclinical,PLK inhibitor,PLK1,other / unclassified,PLK inhibitor,PLK,hard exclusion: PLK inhibitor
sclareol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
SCMC-Lys,Launched,mucolytic agent,GSTP1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
scopine,Launched,,,other / unclassified,,,no annotated mechanism of action
SCS,Preclinical,,,other / unclassified,,,no annotated mechanism of action
Se-methylselenocysteine,Phase 2,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
secnidazole,Launched,acetylcholinesterase inhibitor|microtubule inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
secoisolariciresinol-(-),Phase 2,,,other / unclassified,,,no annotated mechanism of action
segesterone-acetate,Launched,progesterone receptor agonist,PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
selenomethionine,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
semaxanib,Phase 3,VEGFR inhibitor,FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
semustine,Phase 3,DNA alkylating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
sennoside-protonated,Preclinical,,,other / unclassified,,,no annotated mechanism of action
sevoflurane,Launched,membrane integrity inhibitor,ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9|MT-ND1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
SGI-1027,Preclinical,DNA methyltransferase inhibitor,DNMT1|DNMT3A|DNMT3B,epigenetic (selective probe),broad epigenetic poison,DNA methyltransferase inhibitor,hard exclusion: broad epigenetic poison
shikimic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
silymarin,Launched,,,other / unclassified,,,no annotated mechanism of action
sinefungin,Preclinical,DNA methyltransferase inhibitor|RNA synthesis inhibitor,CARM1,epigenetic (selective probe),broad epigenetic poison,DNA methyltransferase inhibitor,hard exclusion: broad epigenetic poison
sinomenine,Preclinical,angiogenesis inhibitor,,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
sisomicin,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
sitosterol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
SJG-136,Phase 2,DNA intercalating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA intercalat,hard exclusion: broad cytotoxic chemotherapeutic
SKLB1002,Preclinical,VEGFR inhibitor,KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
SM-108,Phase 2,,,other / unclassified,,,no annotated mechanism of action
SN-38,Launched,topoisomerase inhibitor,TOP1,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
SNAP,Phase 2,nitric oxide donor,PTPN1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
SNAP-94847,Preclinical,,ADRA1A|DRD2,other / unclassified,,,no annotated mechanism of action
SNC-80,Preclinical,,OPRD1,other / unclassified,,,no annotated mechanism of action
SNG-1153,Preclinical,selective estrogen receptor modulator (SERM),ESR1,other / unclassified,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
SNS-314,Phase 1,Aurora kinase inhibitor,AURKA|AURKB|AURKC,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
sobetirome,Phase 1/Phase 2,thyroid hormone receptor agonist,THRA|THRB,GPCR; nuclear receptor,known plate-fusion or premature-remodeling hazard,thyroid hormone receptor agonist,hard exclusion: known plate-fusion or premature-remodeling hazard
soblidotin,Phase 2,microtubule inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
sobuzoxane,Launched,topoisomerase inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
sodium-ascorbate,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
sodium-butyrate,Phase 2,HDAC inhibitor,BCHE|FFAR2|FFAR3|HDAC1|HDAC2|HDAC3|HDAC8,epigenetic (selective probe),,,no orderable sample (no SMILES or catalogue number)
sodium-danshensu,Preclinical,,,other / unclassified,,,no annotated mechanism of action
sodium-dodecyl-sulfate,Launched,,ALB,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
sodium-gluconate,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
sodium-monofluorophosphate,Launched,,PYGM,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
sodium-nitrite,Launched,nitric oxide donor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
sodium-orthovanadate,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
sodium-picosulfate,Launched,,,other / unclassified,,,no annotated mechanism of action
sodium-tetradecyl-sulfate,Launched,,PROC,other / unclassified,,,no annotated mechanism of action
solithromycin,Phase 3,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
sophocarpine,Phase 3,,,other / unclassified,,,no annotated mechanism of action
sorafenib,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
sorbic-acid,Launched,,,other / unclassified,,,no annotated mechanism of action
sorbitan-monostearate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
SP-420,Phase 1,,,other / unclassified,,,no annotated mechanism of action
sparfloxacin,Withdrawn,bacterial DNA gyrase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,TOP2A,hard exclusion: broad cytotoxic chemotherapeutic
sparteine-(+),Launched,,,other / unclassified,,,no annotated mechanism of action
sparteine-(-),Launched,,,other / unclassified,,,no annotated mechanism of action
sparteine-sulfate,Launched,,,other / unclassified,,,no annotated mechanism of action
spermine,Preclinical,,CA14|CA4|CA6|CA9|CASR|GRIN1|GRIN2A|KCNJ4|ODC1|SMOX|SMS|TRPM4|TRPM5,other / unclassified,,,no annotated mechanism of action
spirobromin,Phase 1,,,other / unclassified,,,no annotated mechanism of action
spironolactone,Launched,mineralocorticoid receptor antagonist,AR|CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CYP11B2|NR3C1|NR3C2|PGR|SHBG,GPCR,systemic sex-steroid manipulation,AR; PGR,hard exclusion: systemic sex-steroid manipulation
spizofurone,Withdrawn,,,other / unclassified,,,no annotated mechanism of action
SR-11302,Preclinical,,,other / unclassified,,,no annotated mechanism of action
SSR128129E,Preclinical,,,other / unclassified,,,no annotated mechanism of action
stattic,Preclinical,,,other / unclassified,,,no annotated mechanism of action
stetaderm,Launched,,,other / unclassified,,,no annotated mechanism of action
STF-31,Preclinical,NAMPT inhibitor,NAMPT|SLC2A1,transporter,,,no orderable sample (no SMILES or catalogue number)
stigmasterol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
streptozotocin,Launched,DNA alkylating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
succinic-acid,Launched,,ALDH5A1|ASPH|BBOX1|HSD17B6|OXCT1|OXCT2|P3H1|P3H2|P3H3|P4HA1|P4HA2|PLOD1|PLOD3|SDHA|SDHB|SDHC|SDHD|SLC13A1|SLC13A2|SLC13A3|SLC25A10|SUCLA2|SUCLG1|SUCLG2|SUCNR1|TMLHE,transporter,,,no annotated mechanism of action
succinylcholine-chloride,Launched,,CHRFAM7A|CHRM1|CHRM2|CHRM3|CHRNA1|CHRNA10,other / unclassified,,,no annotated mechanism of action
sucralose,Launched,,,other / unclassified,,,no annotated mechanism of action
sucrose,Launched,,ACTA1|ATOX1|C22orf28|LYZ,other / unclassified,,,no annotated mechanism of action
sucrose-octaacetate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
sudan-IV,Preclinical,,,other / unclassified,,,no annotated mechanism of action
sufugolix,Preclinical,gonadotropin releasing factor hormone receptor antagonist,,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
sulfacarbamide,Withdrawn,,,other / unclassified,,,no annotated mechanism of action
sulfanilate-zinc,Preclinical,,,other / unclassified,,,no annotated mechanism of action
sulfanitran,Launched,,,other / unclassified,,,no annotated mechanism of action
sulisobenzone,Launched,,,other / unclassified,,,no annotated mechanism of action
sunitinib,Launched,FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,CSF1R|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
suramin,Launched,DNA synthesis inhibitor,F2|FSHR|P2RY1|P2RY11|P2RY13|P2RY2|PLA2G2A|RYR1|RYR2|SIRT5,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
sutezolid,Phase 2,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
SU014813,Phase 2,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
SU4312,Preclinical,PDGFR tyrosine kinase receptor inhibitor|tyrosine kinase inhibitor|VEGFR inhibitor,KDR|PDGFRB,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
SU9516,Preclinical,CDK inhibitor,CDK1|CDK2|CDK4|CDK5,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
SY-640,Phase 2,,,other / unclassified,,,no annotated mechanism of action
SYM-2081,Preclinical,kainate receptor antagonist,GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|SLC1A2,GPCR; transporter,,,no orderable sample (no SMILES or catalogue number)
symclosene,Preclinical,,,other / unclassified,,,no annotated mechanism of action
T-025,Preclinical,CLK inhibitor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
TAK-593,Phase 1,VEGFR inhibitor,PDGFRA,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
TAK-901,Phase 1,Aurora kinase inhibitor,AURKB,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
TAK-960,Phase 1,PLK inhibitor,PLK1,other / unclassified,PLK inhibitor,PLK,hard exclusion: PLK inhibitor
taltobulin,Phase 1,tubulin polymerization inhibitor,,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
TAME,Preclinical,,,other / unclassified,,,no annotated mechanism of action
tamibarotene,Launched,retinoid receptor agonist,RARA|RARB,GPCR,known plate-fusion or premature-remodeling hazard,RARA; RARB,hard exclusion: known plate-fusion or premature-remodeling hazard
tamoxifen,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),EBP|ESR1|ESR2|GPER1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCI|PRKCQ|PRKCZ,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
tanaproget,Phase 2,progesterone receptor agonist,PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
tartaric-acid,Launched,antioxidant,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
TAS-103,Phase 1,topoisomerase inhibitor,TOP1,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
tasquinimod,Phase 3,angiogenesis inhibitor|S100A9 inhibitor,HDAC4,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
tazarotene,Launched,retinoid receptor agonist,RARA|RARB|RARG|RXRB,GPCR,known plate-fusion or premature-remodeling hazard,RARA; RARB; RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
TBA-354,Phase 1,,,other / unclassified,,,no annotated mechanism of action
TC-A-2317,Preclinical,Aurora kinase inhibitor,AURKA,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
TC-S-7005,Preclinical,PLK inhibitor,PLK2,other / unclassified,PLK inhibitor,PLK,hard exclusion: PLK inhibitor
TCID,Preclinical,,,other / unclassified,,,no annotated mechanism of action
TCS-2002,Preclinical,glycogen synthase kinase inhibitor,GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
tedizolid-phosphate,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
telaprevir,Launched,HCV inhibitor,CTSA|PGR,other / unclassified,systemic sex-steroid manipulation,PGR,hard exclusion: systemic sex-steroid manipulation
telatinib,Phase 2,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
temozolomide,Launched,DNA alkylating agent,MGMT,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
teniposide,Launched,topoisomerase inhibitor,TOP2A|TOP2B,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
tenylidone,Preclinical,,,other / unclassified,,,no annotated mechanism of action
terameprocol,Phase 1/Phase 2,lipoxygenase inhibitor,BIRC5|CDK1,other / unclassified,survivin inhibitor,BIRC5,hard exclusion: survivin inhibitor
terciprazine,Phase 1,,,other / unclassified,,,no annotated mechanism of action
terpene,Preclinical,,,other / unclassified,,,no annotated mechanism of action
tetrahydrofolic-acid,Launched,,FOLR2,other / unclassified,,,no annotated mechanism of action
tetrahydropapaverine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
tetramethylthiuram-monosulfide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
tetroquinone,Preclinical,,,other / unclassified,,,no annotated mechanism of action
TG-02,Phase 1/Phase 2,CDK inhibitor|FLT3 inhibitor|JAK inhibitor,CDK1|CDK2|CDK7|CDK9|FLT3|JAK2,kinase,known to suppress chondrocyte proliferation,CDK1,hard exclusion: known to suppress chondrocyte proliferation
TG-100572,Preclinical,SRC inhibitor|VEGFR inhibitor,KDR|SRC,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
TG-100801,Phase 2,SRC inhibitor|VEGFR inhibitor,CSK|FGFR1|FLT1|FLT4|KDR|SRC,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
TH-302,Phase 3,DNA alkylating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
thiamine-pyrophosphate,Launched,,,other / unclassified,,,no annotated mechanism of action
thiodiglycol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
thiophanate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
thiostrepton,Launched,FOXM1 inhibitor|protein synthesis inhibitor,FOXM1,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
thiram,Launched,,JAK2,other / unclassified,,,no annotated mechanism of action
thymol-iodide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
tiabendazole,Launched,angiogenesis inhibitor,,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
tibolone,Launched,androgen receptor agonist|estrogen receptor agonist|progesterone receptor agonist,ESR1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
tideglusib,Phase 2,glycogen synthase kinase inhibitor,GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
tie2-kinase-inhibitor,Preclinical,TIE tyrosine kinase inhibitor,KDR|MAPK14,kinase,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
tiludronate,Launched,bone resorption inhibitor|osteoclast inhibitor,ATP6V1A|MMP2|PTPN1,other / unclassified,direct V-ATPase poison,ATP6V1A,hard exclusion: direct V-ATPase poison
tiratricol,Launched,thyroid hormone stimulant,THRA|THRB,other / unclassified,known plate-fusion or premature-remodeling hazard,THRA; THRB,hard exclusion: known plate-fusion or premature-remodeling hazard
tivozanib,Launched,VEGFR inhibitor,FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
TMC647055,Phase 2,RNA polymerase inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
TMPH,Preclinical,,,other / unclassified,,,no annotated mechanism of action
TMS,Preclinical,,,other / unclassified,,,no annotated mechanism of action
toceranib,Launched,protein tyrosine kinase inhibitor,FLT1|FLT3|KDR|PDGFRA|PDGFRB,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,FLT1; KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
tolonium,Launched,,,other / unclassified,,,no annotated mechanism of action
topilutamide,Preclinical,androgen receptor antagonist,,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
topotecan,Launched,topoisomerase inhibitor,TOP1|TOP1MT,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
toremifene,Launched,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),ESR1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
tozasertib,Phase 2,Aurora kinase inhibitor|Bcr-Abl kinase inhibitor|FLT3 inhibitor|JAK inhibitor,AURKA|AURKB|AURKC|LCK,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
TPPS4,Phase 1,,,other / unclassified,,,no annotated mechanism of action
tranilast,Launched,angiogenesis inhibitor,HPGDS|HRH1,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
"trans-10,cis-12-conjugated-linoleic-acid",Launched,,,other / unclassified,,,no annotated mechanism of action
trans-2-undecenoic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
"trans-4-[8-(3-fluorophenyl)-1,7-naphthyridin-6-yl]cyclohexanecarboxylic-acid",Preclinical,,,other / unclassified,,,no annotated mechanism of action
trans-4-hydroxycrotonic-acid,Preclinical,gamma hydroxybutyric acid ligand,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
trans-4-methoxycinnamic-acid,Preclinical,,,other / unclassified,,,no annotated mechanism of action
trebenzomine,Phase 2,,,other / unclassified,,,no annotated mechanism of action
treosulfan,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
tretinoin,Launched,retinoid receptor agonist|retinoid receptor ligand,ALDH1A1|ALDH1A2|GPRC5A|NR0B1|NR2C2|PPARD|RARA|RARB|RARG|RARRES1|RORB|RORC|RXRB|RXRG,GPCR,known plate-fusion or premature-remodeling hazard,RARA; RARB; RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
triacetin,Launched,,,other / unclassified,,,no annotated mechanism of action
triamcinolone,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
