accession	n_samples	taxon	n_age_tokens	age_tokens	title	summary
GSE244054	12	Mus musculus	1	e12.5	Effect of deletion of Impdh2 on gene expression in the  forlimbs from E12.5 embryos and osteoclasts (OCs)	Many factors are essential for skeletal development and homeostaisis. Here we report that inosine monophosphate dehydrogenase type II (Impdh2) is a key positive regulator for limb development and bone resorption. Deletion of Impdh2 in limb mesenchymal progenitors  impaired the differentiation of mesenchymal cells into chondrocyte. Meanwhile, deletion of Impdh2 in osteoclast precursors results in mice an osteopetrotic phenotype via suppressing osteoclast differentiation. Our results reveal a previously unrecognized role of Impdh2 on skeletal development and homeostasis.
GSE249509	6	Mus musculus	1	aging	Targeting parkin-regulated metabolomic change in cartilage in the treatment of osteoarthritis I	Articular cartilage degeneration, which may lead to osteoarthritis (OA), is a normal component of the aging process, but its underlying mechanism remains unknown. We found that chondrocytes exhibited an energy metabolism shift from glycolysis to oxidative phosphorylation (OXPHOS) during aging. Reprogrammed cartilage metabolism by parkin ablation decreased OXPHOS and increased glycolysis, with ameliorated aging-related OA. Metabolomics analysis indicated that lauroyl-L-carnitine (LLC) was decreased in aged cartilage, but increased in parkin-deficient cartilage. In vitro, LLC improved the cartil
GSE249510	6	Mus musculus	1	aging	Targeting parkin-regulated metabolomic change in cartilage in the treatment of osteoarthritis II	Articular cartilage degeneration, which may lead to osteoarthritis (OA), is a normal component of the aging process, but its underlying mechanism remains unknown. We found that chondrocytes exhibited an energy metabolism shift from glycolysis to oxidative phosphorylation (OXPHOS) during aging. Reprogrammed cartilage metabolism by parkin ablation decreased OXPHOS and increased glycolysis, with ameliorated aging-related OA. Metabolomics analysis indicated that lauroyl-L-carnitine (LLC) was decreased in aged cartilage, but increased in parkin-deficient cartilage. In vitro, LLC improved the cartil
GSE253210	4	Mus musculus	1	aging	Cbfβ regulates Wnt/β-catenin, Hippo/Yap, and TGFβ signaling pathways in articular cartilage homeostasis and protects from ACLT surgery-induced osteoarthritis	As the most common degenerative joint disease, osteoarthritis (OA) contributes significantly to pain and disability during aging. Several genes of interest involved in articular cartilage damage in OA have been identified. However, the direct causes of OA are poorly understood. Evaluating the public human RNA-seq dataset showed that Cbfβ, (subunit of a heterodimeric Cbfβ/Runx1,Runx2, or Runx3 complex) expression is decreased in the cartilage of patients with OA. Here, we found that the chondrocyte-specific deletion of Cbfβ in tamoxifen-induced Cbfβf/fCol2α1-CreERT mice caused a spontaneous OA 
GSE261400	9	Mus musculus	1	p65	Skatole attenuates osteoarthritis by protecting chondrocytes and mediating macrophage repolarization through regulating the NFκB/MAPK signaling pathway and metabolic reprogramming	Osteoarthritis (OA) is the most common joint disease, but there are currently no disease-modifying OA drugs (DMOADs) yet approved by the regulatory agencies. Regulating macrophage polarization can alleviate synovial inflammation and then repair articular cartilage damage, providing a new target for OA treatment. Here, we found that Skatole can modulate macrophage polarization and attenuate OA. Skatole hindered M1 macrophage polarization while promoting M2 macrophage polarization. Mechanistically, Skatole activated Stat6, suppressed the phosphorylation of IKK, IκBα, and p65 in NFκB signaling pa
GSE263775	5	Mus musculus	1	postnatal day	Small molecule inhibition rescues the skeletal dysplasia phenotype of Trpv4 mutant mice	The TRPV4 skeletal disorders are characterized by short stature and scoliosis but the cellular mechanisms behind this phenotype are unclear. We isolated tibial and femoral cartilage growth plate chondrocytes from postnatal day 3 wild type and Col2a1-Cre driven Trpv4 p.R594H conditional knock-in mice, which models the phenotype, and analyzed differential expression patterns using single cell RNA-seq.
GSE264103	6	Mus musculus	1	aging	Aged skin exacerbates experimental osteoarthritis via enhanced IL-36R signaling	To investigate  skin aging is an important driver of experimental osteoarthritis(OA) progression in mice via enhanced IL-36 receptor (IL-36R) signaling. The supernatants from the co-culture of UV-aged mouse primary keratinocytes with synovial fibroblasts were collected to induce mouse primary articular chondrocytes (CCs) to become aging SNL CCs. On this basis, Spesolimab (100ng/ml) was added to culture aging SNL CCs to study the drug's effect on OA. We then performed gene expression profiling analysis using data obtained from RNA-seq of 3 groups: control CCs, aging SNL CCs, aging SNL CCs+Speso
GSE264710	8	Mus musculus	1	aging	Aging attenuates the infrapatellar fat pad’s paracrine capacity to promote extracellular matrix    production in aged chondrocytes	Objective: To elucidate the age and sex-specific impact of the IFP secretome on aged chondrocytes, and uncover the exact mechanism driving these effects.  To explore mediators of the IFP on chondrocytes, we performed mass-spectrometry proteomics of CM from young versus aged male IFP and mass spectrometry on aged male chondrocytes treated with CM of the same experimental groups. Network analysis interrogated age-dependent changes in communication between IFP-derived secreted proteins and chondrocytes.  Results: Col2 and aggrecan expression were significantly increased in chondrocytes co-culture
GSE267139	25	Homo sapiens	1	e59	Human cartilage development at single cell resolution	Single cell transcriptomic profiling of hPSC-derived articular and growth plate chondrocytes during directed differentiation protocols and cells isolated from the epiphysis and growth plate of the human fetal femur at E59
GSE268081	8	Homo sapiens	1	p21	Differentially expressed genes affected by CSRNP1 overexpression in human-derived vaginal fibroblasts	Pelvic organ prolapse (POP) is a group of diseases caused by extracellular matrix (ECM) degradation in the pelvic supportive tissues. Cysteine and serine rich nuclear protein 1 (CSRNP1) is involved in cell proliferation and survival regulation, and reportedly facilitates collagen breakdown in human chondrocytes. We here uncovered CSRNP1 as a key driver on collagen degradation in human-derived vaginal fibroblasts. Apoptosis of POP patient-derived vaginal fibroblasts was suppressed after knocking down CSRNP1. Silencing of CSRNP1 inhibited hydrogen peroxide (H2O2)-triggered apoptosis, ROS generat
GSE270646	9	Homo sapiens	1	p3	Impact of nifedipine and tannin acid co-culturing on P3 chondrocytes	Tannic acid(TA) and nifedipine(Nif) may influence genetic changes in chondrocytes cultured in vitro, and here we use RNAseq to explore the effects on the transcriptome
GSE272422	12	Mus musculus	1	aging	Sirt5 regulates chondrocyte metabolism and osteoarthritis development through protein lysine malonylation	Chondrocyte metabolic dysfunction plays an important role in osteoarthritis (OA) development during aging and obesity. However, it is unknown how metabolic dysfunction occurs during these two conditions. Proteins post-translational modifications (PTMs) have recently emerged as an important regulator of cellular metabolism. We previously reported that one type of PTM, lysine malonylation (MaK) was increased in cartilage during obesity. Sirt5, the only known mammalian demalonylase, declines in cartilage during aging. To elucidate the interplay between Sirt5 deficiency and obesity in joint degene
GSE273261	6	Homo sapiens	1	aging	Effect of Overexpression of DPP4 on Gene Expression in C28/I2 Chondrocyte Cells	We report here the overexpression of DPP4 in C28/I2 chondrocyte cells to investigate the changes induced by elevated levels of this gene. DPP4 is known as a marker of cellular senescence, yet its regulatory mechanisms remain unclear. In this study, we utilized the C28/I2 cell line to overexpress DPP4 and analyzed the resultant effects on gene expression and cellular behavior. Our findings reveal that DPP4 overexpression influences several pathways associated with chondrocyte function and senescence. Specifically, we observed alterations in pathways related to extracellular matrix organization,
GSE276978	20	Mus musculus	1	p62	LOXL2 protects temporomandibular joint from mitochondrial dysfunction, apoptosis and osteoarthritis like progression	Temporomandibular joint (TMJ) osteoarthritis (OA) affects a significant population, and there are no FDA-approved drugs for its treatment. Our previous studies showed that lysyl oxidase-like-2 (LOXL2) has anabolic effects on cartilage; however, whether LOXL2 plays a role in relieving TMJ-OA remains unknown. The goal of this study was to comprehensively investigate LOXL2 mechanism in TMJ protection, with an emphasis on transcriptomic network analysis, mitochondria, and apoptosis during TMJ-OA. We showed that the TMJ is transcriptionally unique compared to the knee, with elevated Loxl2 expressio
